RW,RQWt,RQBt,MQWt,LW,LQWt,LQBt,max_energy_eV,max_photocurrent,quality_factor,prominence
8,1.469090,13.820054,4.364619,5,7.217258,13.818092,2.700936,7.536023e-09,1946.577273,0.996818
9,2.471798,13.746539,2.470674,4,1.018173,14.233708,9.657320,1.155213e-07,288.108904,1.000000
9,1.469058,13.745311,4.072704,5,7.218187,13.818229,2.699173,7.037795e-09,2103.798217,0.999292
9,1.049611,13.753778,4.389102,5,2.099358,13.773502,3.255447,7.906267e-12,1707.908993,1.000000
9,2.461313,12.454849,2.483750,5,1.211876,14.772208,8.228268,1.597289e-07,697.374749,1.000000
9,2.757666,14.139684,2.772054,7,1.011923,13.790326,9.379727,8.673201e-07,616.554139,1.000000
9,2.009073,13.299276,2.041563,6,1.321310,14.362049,7.759699,2.216515e-08,699.783456,0.999995
9,2.497230,14.154676,2.496893,5,1.073424,13.782502,8.647140,3.081285e-07,538.158001,1.000000
9,2.496327,13.751776,2.496893,9,1.005074,14.907422,10.056771,5.502350e-07,466.338056,1.000000
9,1.981684,12.550662,2.045213,5,1.340455,12.831268,7.155222,3.065729e-07,796.307576,1.000000
9,1.981091,13.731854,2.043846,6,1.315764,13.822635,7.385348,4.501186e-07,755.182012,1.000000
9,2.519208,13.799044,2.520869,5,1.509704,14.253789,6.581741,2.822839e-07,907.077239,1.000000
9,1.466835,13.758133,2.240016,5,7.173815,14.245614,2.713348,6.707081e-09,1696.229526,0.999902
9,2.384925,14.196694,2.442419,8,1.537635,13.657348,6.578249,3.371655e-07,849.109201,0.999999
9,1.988892,13.203614,2.045213,5,1.447811,12.954142,6.753812,3.002588e-07,860.477108,1.000000
9,1.852880,14.074756,2.453388,9,1.023091,14.983821,4.340217,5.775381e-12,1404.217845,1.000000
9,1.047403,12.543602,2.038312,5,2.138197,14.257594,5.102880,2.020900e-08,1192.728643,1.000000
9,1.469058,13.745311,4.072704,5,7.218187,14.917601,2.731879,2.478253e-09,2237.769528,0.999993
9,2.451586,14.154676,2.496893,5,1.073424,13.782502,8.647140,3.081285e-07,538.158001,1.000000
8,1.179911,14.106046,2.494310,5,3.377262,14.450135,2.694480,2.181691e-08,2192.164001,0.999987
9,2.471798,13.747760,2.462022,4,1.005590,14.233708,9.657320,1.155213e-07,288.108904,1.000000
9,1.049611,13.753778,2.236607,5,2.099358,14.252084,4.922588,2.124200e-11,1156.852292,1.000000
9,1.104748,13.753778,3.915028,5,7.824735,14.266739,2.741543,1.040293e-09,2068.384631,0.999992
8,2.483139,13.742799,2.449843,4,1.000471,14.232578,4.579025,1.200358e-11,1335.382551,0.999999
9,1.852880,14.074756,2.453388,9,1.006202,14.999681,4.340217,5.775381e-12,1404.217845,1.000000
8,1.331654,13.746457,2.151231,5,3.185624,13.466939,2.654678,1.146450e-08,2047.165400,0.999999
9,2.497230,14.154676,2.496893,5,1.007276,13.889154,9.480122,2.733355e-07,418.221363,1.000000
